ID,用例名称,所属模块,标签,前置条件,备注,步骤描述,预期结果,编辑模式,用例等级,责任人,用例状态,test
,界面>盘口>不关联涨跌基准价设置,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 设置中更改【涨跌计算方式】为任意设置
3. 返回证券风格页面",3. 盘口处不做任何改变，不关联此设置,STEP,P3,july,Prepare,未定义此列头内容
,界面>盘口>下拉收起操作,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 点击常驻盘口区域
3. 点击展开后的盘口区域","2. 正确下拉出下拉盘口，无卡顿。下方界面整体向下推移
3. 正确收起下拉盘口，无卡顿。下方界面整体向上推移",STEP,P3,july,Prepare,未定义此列头内容
,界面>盘口>下拉状态页面保存,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 点击常驻盘口区域
3. 进入右菜单-设置界面后返回
4. 退出页面，重新进入","2. 盘口正确下拉
3. 页面保存，依旧是下拉状态
4. 下拉状态重置回了初始：未展开状态",STEP,P1,july,Prepare,未定义此列头内容
,界面>盘口>期货内容校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面-非证券合约
2. 观察常驻盘口内容
3. 点击下拉后，观察下拉盘口内容","2. 常驻盘口展示：最新价、涨跌、涨幅；最高、最低；昨结、成交；持仓、日增
3. 下拉盘口展示：开盘、昨收；涨停、跌停；内盘、外盘；均价、今结；振幅",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>证券内容校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面-证券合约
2. 观察常驻盘口内容
3. 点击下拉后，观察下拉盘口内容","2. 常驻盘口展示：最新价、涨跌、涨幅；最高、最低；今开、换手；成交量、成交额
3. 下拉盘口展示：市净率、市盈率；趋势度、投机度；量比、委比；内盘、外盘",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>振幅字段校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面-非证券合约
2. 观察振幅字段
3. 比较三端振幅数据","2. 与外部合约列表的振幅字段，数值一致
3. 三端振幅数值一致",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>换手字段校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面-证券合约
2. 观察换手字段
3. 比较三端振幅数据","2. 换手计算公式：内盘：成交量/流通市值（FIELD_MEAN_Circulation ）外盘：成交量/总市值（FIELD_MEAN_Capitalization ）
3. 三端振幅数值一致",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>量比字段校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面-证券合约
2. 观察量比字段
3. 比较三端量比数据","2. 百度查询
3. 三端量比数值一致",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>样式校验,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 观察各字段颜色","1. 所有字段的字段名不做加粗，后方数字需要加粗
2. 价格类型：最新价、最高、最低、昨结、开盘、昨收、均价、今结、涨停、跌停、涨跌、涨幅，颜色随涨跌变化；数值类型：成交、持仓、日增、内盘、外盘、振幅、换手、成交量、成交额为数值类型，颜色显示为黑色",STEP,P2,july,Prepare,未定义此列头内容
,界面>盘口>多周期同列界面盘口,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于多周期同列界面
2. 进入非证券合约的多周期同列
3. 查看盘口处内容
4. 进入证券合约的多周期同列
5. 查看盘口处内容","3. 盘口内容更新为非证券合约的盘口内容，不可点击下拉
5. 盘口内容更新为证券合约的盘口内容，不可点击下拉",STEP,P2,july,Prepare,未定义此列头内容
,界面>分时K线>页签新增分时,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于分时图界面
2. 查看上方页签",2. 页签中新增了“分时”选项，可以自由在分时、K线切换,STEP,P1,july,Prepare,未定义此列头内容
,界面>分时K线>分时图、K线主要内容与期货一致,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于分时图/K线界面
2. 观察分时图/K线内容",2. 与期货风格一致,STEP,P2,july,Prepare,未定义此列头内容
,界面>分时K线>K线新增五档盘口,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面，观察右侧
2. 点击该三角","1. 有可展开的小三角
2. 新增五档盘口，内容与分时图数据一致",STEP,P1,july,Prepare,未定义此列头内容
,界面>分时K线>K线倒计时,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 事先设置中打开了K线倒计时的显示",无,"1. 当前处于K线界面
2. 观察K线倒计时
3. 设置调整【期货风格】UI
4. 观察K线倒计时","2. 倒计时位置更改，期望处于时间轴的最右侧，遮盖最新时间
4. 期货风格的倒计时位置也要同步更改",STEP,P3,july,Prepare,未定义此列头内容
,界面>分时K线>区间统计功能遮挡盘口,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 点击右菜单，开启区间统计",2. 盘口处内容更换为期货版区间统计内容,STEP,P2,july,Prepare,未定义此列头内容
,界面>分时K线>十字弹框切换合约自动关闭,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 长按展开十字弹框，左右滑动盘口或标题栏，切换合约",2. 切换合约成功，十字弹框自动关闭,STEP,P3,july,Prepare,未定义此列头内容
,界面>分时K线>历史分时图压缩主K线,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 2个副图都存在，长按日K线进入历史分时图
3. 1个副图被隐藏，长按日K线进入历史分时图
4. 2个副图都隐藏，长按日K线进入历史分时图","2. 历史分时图正好遮挡2个副图
3. 历史分时图大小与2个副图时一致，上方K线界面被压缩
4. 历史分时图大小与2个副图时一致，上方K线界面被压缩",STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>默认页签,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域
3. app首次安装，或是清除了缓存数据",无,"1. 进入K线界面
2. 观察下方webview页签默认选择",2. 默认选择了资讯页签，资讯下有个红色小圆弧样式,STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>页签选择,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. 点击明细后
2. app重启打开，进入任意合约证券K线界面","1. 明细页签选中，红色小圆弧更新到下方
2. 页签选择长期保存，依旧选中了明细",STEP,P3,july,Prepare,未定义此列头内容
,界面>webview>资讯内容校验,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. 资讯内容与期货版比对
2. 尝试无限下拉","1. 与期货版本内容、交互一致
2. 支持无限下拉，但是会固定驻留上方五web的标题",STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>明细内容校验,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. 明细内容与期货版比对
2. 尝试无限下拉","1. 与期货版本内容、交互一致
2. 支持无限下拉，但是会固定驻留上方五web的标题",STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>合约关联校验,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. 进入不同合约的合约关联界面
2. 尝试左右滑动
3. 尝试无限下拉","1. 参考竞品关联界面，验证合理性
2. 不支持左右滑动，会触发页签的更改。关联图在APP端自适应宽度，不可显示到界面右方、外部
3. 支持有限下拉，到绘图边界则无法继续拖动。固定驻留上方五web的标题",STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>排行内容校验,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. 龙虎榜内容与期货版比对
2. 尝试无限下拉","1. 与期货版本内容、交互一致
2. 支持有限下拉，到龙虎榜边界则无法继续拖动。会固定驻留上方五web的标题",STEP,P2,july,Prepare,未定义此列头内容
,界面>webview>F10,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. 当前处于证券风格下方的webview区域",无,"1. F10内容与期货版比对
2. 尝试无限下拉","1. 与期货版本内容、交互一致
2. 支持有限下拉，到F10边界则无法继续拖动。会固定驻留上方五web的标题",STEP,P2,july,Prepare,未定义此列头内容
,界面>五快捷功能栏>随埋点结果配置常用5功能,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 观察5功能按键",2. 闪电下单 第一个交易 第五个中间3个根据埋点结果,STEP,P1,july,Prepare,未定义此列头内容
,界面>五快捷功能栏>按键选中效果,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 查看默认效果
3. 点击闪电下单
4. 点击交易
5. 点击其余三个功能","2. 默认无功能被选择
3. 闪电下单图标+下方文字红色显示，松手后恢复黑色
4. 交易图标+下方文字红色显示，松手后恢复黑色
5. 其余三个功能也是相同选中效果",STEP,P1,july,Prepare,未定义此列头内容
,交互>上下滑动>合约滑动页面保存,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 上下滑动整个界面一定距离
3. 进入右菜单-设置界面后返回
4. 退出页面，重新进入","3. 页面保存，依旧刚刚的滑动距离
4. 滑动距离重置回了顶部",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>webview滑动页面保存,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 查看下方的资讯web
3. 上下滑动整个资讯到一定距离
4. 切换webview到排行后，再返回
5. 进入右菜单-设置界面后返回
6. 退出页面，重新进入","4. 页面保存，依旧刚刚的滑动距离
5. 页面保存，依旧刚刚的滑动距离
6. 滑动距离重置回了顶部",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>历史分时图跟随滑动,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 长按日K线进入历史分时图，app界面上下拖动
3. 观察下方切换日期的：前一天、后一天","2. 历史分时图处于K线内部，跟随滑动不悬浮
3. 也位于了K线内部，因此跟随界面滑动不悬浮",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>十字框跟随滑动,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 长按展开十字弹框
3. app界面上下拖动","2. 十字弹框竖线只能显示在K线内部，不可无限延伸
3. 十字弹框处于K线内部，跟随滑动",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>悬浮窗不跟随滑动,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 上下滑动界面
3. 观察常驻功能栏悬浮框
4. 进入闪电下单、画线下单、画线分析等等界面
5. 上下滑动","3. 不跟随滑动
5. 悬浮的功能栏都不跟随界面K线滑动",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>放大镜不跟随滑动,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 激活画线下单功能
3. 拖动画线，观察放大镜显示
4. 另一只手指对整体界面进行上下滑动
5. 尝试让滑动点靠近界面最下方","3. 放大镜默认展示在界面最下方
4. 放大镜悬浮，不会跟随界面滑动
5. 如果滑动点将要被放大镜遮挡，放大镜拥有躲手功能，自动显示在界面最上方",STEP,P2,july,Prepare,未定义此列头内容
,交互>上下滑动>部分功能需要重置滑动距离,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 上下滑动整个界面到一定距离
3. 点击快捷功能或右菜单的画线下单
4. 重复步骤2后，点击快捷功能或右菜单的画线分析
5. 重复步骤2后，点击快捷功能或右菜单的画线预警
6. 重复步骤2后，点击快捷功能或右菜单的画线止损止盈
7. 重复步骤2后，进入日K线，长按十字弹框进入当日分时图
8. 验证其余功能","3. 滑动距离重置回顶部，之后功能期间可以正常上下滑动
4. 滑动距离重置回顶部，之后功能期间可以正常上下滑动
5. 滑动距离重置回顶部，之后功能期间可以正常上下滑动
6. 滑动距离重置回顶部，之后功能期间可以正常上下滑动
7. 滑动距离重置回顶部，之后功能期间可以正常上下滑动
8. 其余功能一律不重置滑动距离",STEP,P1,july,Prepare,未定义此列头内容
,交互>左右滑动>标题栏,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于内盘主力 - 证券风格页面
2. 使用右->左的滑动手势 操作标题栏
3. 使用左->右的滑动手势 操作标题栏","2. 合约向左切换到下一个合约，无动画演示
3. 合约向右切换到上一个合约，无动画演示",STEP,P2,july,Prepare,未定义此列头内容
,交互>左右滑动>盘口,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于内盘主力 - 证券风格页面
2. 使用右->左的滑动手势 操作常驻/下拉盘口
3. 使用左->右的滑动手势 操作常驻/下拉盘口","2. 合约向左切换到下一个合约，会有整体界面左划的动画效果
3. 合约向右切换到上一个合约，会有整体界面右划的动画效果",STEP,P2,july,Prepare,未定义此列头内容
,交互>左右滑动>部分功能启用时不允许切换合约,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 进入画线下单功能后，尝试切换合约
3. 退出上个功能，进入画线分析功能，尝试切换合约
4. 退出上个功能，进入画线预警功能，尝试切换合约
5. 退出上个功能，进入画线止损止盈功能，尝试切换合约
6. 退出上个功能，进入日K线的查看历史分时图功能，尝试切换合约
7. 验证其余功能","2. 交互无效，合约未做切换
3. 交互无效，合约未做切换
4. 交互无效，合约未做切换
5. 交互无效，合约未做切换
6. 交互无效，合约未做切换
7. 其余功能都可以正常切换合约",STEP,P1,july,Prepare,未定义此列头内容
,交互>左右滑动>自选列表循环滑动,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前自选列表中只有A、B、C三个自选
2. 进入证券风格的A合约
3. 一直向右或一直向左切换合约，观察合约情况",3. 与期货风格一致，会在A、B、C列表中循环滑动,STEP,P2,july,Prepare,未定义此列头内容
,交互>左右滑动>周期页签栏,/3.7.0/证券风格/,,"1. 设置中已经开启了证券风格
2. K线周期设置了多个，供以页签一页显示不下需要拖动",无,"1. 点击1分钟页签
2. 点击分时页签
3. 拖动页签栏","1. 成功切换到1分钟图表
2. 成功切换到分时图
3. 页签栏正确滑动",STEP,P1,july,Prepare,未定义此列头内容
,交互>左右滑动>分时图,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于分时图界面
2. 左右拖动分时图",2. 拖动无效果,STEP,P3,july,Prepare,未定义此列头内容
,交互>左右滑动>五档盘口,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于分时图或K线图
2. 向右拖动五档盘口
3. 向左拖动五档盘口
4. 再次向左拖动五档盘口","2. 页签栏从分时切换到1分钟K
3. 页签栏从1分钟K切换回分时
4. 分时左侧无更多页签，无效果",STEP,P1,july,Prepare,未定义此列头内容
,交互>左右滑动>K线,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于K线界面
2. 左右滑动K线",2. 保持原先查看历史K线能力,STEP,P2,july,Prepare,未定义此列头内容
,交互>左右滑动>webview,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于资讯web中
2. 尝试右滑
3. 再次尝试右滑
4. 再次尝试右滑
5. 再次尝试右滑
6. 再次尝试右滑
7. 尝试左滑","2. 明细页签选中，红色小圆弧更新到下方
3. 关联页签选中，红色小圆弧更新到下方
4. 排行页签选中，红色小圆弧更新到下方
5. F10页签选中，红色小圆弧更新到下方
6. F10右方无更多页签，无效果
7. 排行页签选中，红色小圆弧更新到下方",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>闪电下单,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前已进入闪电下单模式下
3. 尝试上下滑动界面
4. 尝试左右滑动切换合约","3. 闪电下单不跟随界面上下变化
4. 闪电下单不跟随界面左右变化。但合约切换完后，需要正确更新默认手数、默认价格、三键等等控件",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>画线下单,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前已进入画线下单模式下
3. 尝试上下滑动界面
4. 尝试左右滑动切换合约","3. 画线下单不跟随界面上下变化
4. 画线下单不跟随界面左右变化。但合约切换完后，需要正确更新买卖平反、默认手数等控件",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>画线预警,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前已进入画线预警模式下
3. 尝试上下滑动界面
4. 尝试左右滑动切换合约","3. 画线预警不跟随界面上下变化
4. 画线预警不跟随界面左右变化",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>画线分析,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前已进入画线分析模式下
3. 尝试上下滑动界面
4. 尝试左右滑动切换合约","3. 画线分析不跟随界面上下变化
4. 画线分析不跟随界面左右变化",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>画线止损止盈,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前已进入画线止损止盈模式下
3. 尝试上下滑动界面
4. 尝试左右滑动切换合约","3. 画线止损止盈不跟随界面上下变化
4. 画线止损止盈不跟随界面左右变化",STEP,P2,july,Prepare,未定义此列头内容
,交互>独立悬浮窗>五快捷功能栏,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 尝试上下滑动界面
3. 尝试左右滑动切换合约","2. 五快捷功能栏不跟随界面上下变化
3. 五快捷功能栏不跟随界面左右变化",STEP,P2,july,Prepare,未定义此列头内容
,交互>横屏>页签新增分时,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 当前处于分时图界面
3. app横屏
4. 查看上方页签",4. 页签中新增了“分时”选项，可以自由在分时、K线切换,STEP,P3,july,Prepare,未定义此列头内容
,交互>横屏>期货风格同步更新,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 设置中修改证券风格为期货风格
2. 进入期货界面
3. 查看竖屏时页签
4. app横屏
5. 查看横屏时页签","3. 原版期货风格没有""分时""页签，依旧是独立界面
5. 页签中新增了“分时”选项，可以自由在分时、K线切换",STEP,P2,july,Prepare,未定义此列头内容
,交互>横屏>处于模式中，不可返回竖屏,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. app横屏，再竖屏
3. app横屏，进入闪电下单，再竖屏
4. 退出闪电下单后，再竖屏
5. 同理测试画线下单、画线预警、画线分析、画线止损止盈等等","2. 可以正常返回竖屏
3. 不可返回竖屏
4. 可以正常返回竖屏
5. 处于模式中，都不可返回竖屏",STEP,P1,july,Prepare,未定义此列头内容
,交互>横屏>横竖屏切换不影响上下滑动位置,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格界面
2. 滑动竖屏页面到中间，app横屏，再竖屏
3. 滑动竖屏页面到中间，app横屏，进入退出画线下单，再竖屏
4. 滑动竖屏页面到中间，app横屏，切换周期到分时再到1日K，再竖屏","2. 滑动位置依然在中间
3. 滑动位置依然在中间
4. 滑动位置依然在中间",STEP,P3,july,Prepare,未定义此列头内容
,入口隐藏,/3.7.0/CTP资金内转/,,无,无,"1. 当前登录了普通期货账号
2. 点击进入交易相关
3. 多账号登录个股/股票期权账号ETF账号
4. 点击进入交易相关
5. 多账号切换回普通期货账号
6. 点击进入交易相关","2. 没有【资金内转】入口
4. 出现了【资金内转】入口
6. 【资金内转】入口再做隐藏",STEP,P2,july,Prepare,未定义此列头内容
,界面>入口位置,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,1. 打开交易相关界面,1. 入口位置在交易相关最下方，也即【修改密码】下方,STEP,P3,july,Prepare,未定义此列头内容
,界面>页面进出,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 点击进入【交易相关 - 资金内转】
2. 点击左上角返回按钮","1. 成功进入资金内转界面
2. 成功退出资金内转界面",STEP,P3,july,Prepare,未定义此列头内容
,界面>股票期权账户,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 当前登录单账户A，进入资金内转界面
2. 点击右侧下拉","1. 股票期权账户栏显示A期货公司 + 账户ID，下方有A有对应的期货公司账号，只展示账户ID，再下方是A账户的可转余额
2. 但账户也支持点击下拉",STEP,P2,july,Prepare,未定义此列头内容
,界面>股票期权可转余额,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 当前内转方向为股票期权 转 期货
2. 观察可转余额
3. 比对三端余额数","2. 可转余额查询不需要密码，进入界面即可获取到
3. 三端数据正确，显示统一",STEP,P1,july,Prepare,未定义此列头内容
,界面>期货可转余额,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 当前内转方向为期货 转 股票期权
2. 观察可转余额
3. 比对三端余额数","2. 可转余额查询不需要密码，进入界面即可获取到
3. 三端数据正确，显示统一",STEP,P1,july,Prepare,未定义此列头内容
,界面>内转方向切换,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. app首次进入资金内转界面
2. 观察内转方向默认值
3. 点击右侧的=切换按钮
4. 点击“股票期权 转 期货”文字","2. 默认为【股票期权 转 期货】
3. 成功切换方向，下方可转余额变为   期货的可转余额
4. 点击文字不支持切换方向",STEP,P2,july,Prepare,未定义此列头内容
,界面>内转方向长期保存,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. app切换了内转方向为“期货 转 股票期权”
2. app重启，进入资金内转界面
3. app重新安装，进入资金内转界面","2. 长期保存，依旧是“期货 转 股票期权”
3. 恢复成了默认值“股票期权 转 期货”",STEP,P3,july,Prepare,未定义此列头内容
,界面>内转金额右对齐展示,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 当前处于资金内转界面
2. 输入内转金额",2. 内转金额右对齐展示,STEP,P2,july,Prepare,未定义此列头内容
,界面>密码输入弹框,/3.7.0/CTP资金内转/,,1. 当前登录并正在使用个股/股票期权账号ETF账号,无,"1. 当前处于资金内转界面
2. 输入正确的内转金额后，点击确定
3. 观察两个密码输入框
4. 密码输入框，点击【确定】校验密码不为空，为空弹toast提示输入XX密码；提交关闭弹框并发出资金内转请求，并弹toast：已成功提交资金内转请求。","2. 弹出输入密码框
4. 子主题 1",STEP,P2,july,Prepare,未定义此列头内容
,交互>多个股票期权账户,/3.7.0/CTP资金内转/,,无,无,"1. 当前登录了A、B、C、D、E个股票期权账户
2. 当前使用A账户进入资金内转界面
3. 点击右侧下拉","2. 股票期权账户栏显示的是A，下方有A有对应的期货账户，A账户的可转余额
3. 出现了账户下拉列表，一面最多显示4个，当前选中的账户A红色加粗显示",STEP,P2,july,Prepare,未定义此列头内容
,交互>界面进出刷新,/3.7.0/CTP资金内转/,,无,无,"1. A测试机进入资金内转界面等待
2. 使用B测试机进行内转，改变可转金额
3. 观察A测试机上界面展示
4. 重新进出资金内转界面，再次观察","3. 界面未做刷新
4. 界面刷新，可转余额更新为了最新值",STEP,P2,july,Prepare,未定义此列头内容
,交互>切换方向刷新,/3.7.0/CTP资金内转/,,无,无,"1. A测试机进入资金内转界面等待
2. 使用B测试机进行内转，改变可转金额
3. 观察A测试机上可转余额
4. 手动切换两次内转方向后，再次观察","3. 界面未做刷新
4. 界面刷新，可转余额更新为了最新值",STEP,P2,july,Prepare,未定义此列头内容
,交互>切换多账号刷新,/3.7.0/CTP资金内转/,,无,无,"1. A测试机进入资金内转界面等待
2. 使用B测试机进行内转，改变可转金额
3. 观察A测试机上可转余额
4. 手动切换期货账号B，再返回A后，再次观察","3. 界面未做刷新
4. 界面刷新，可转余额更新为了最新值",STEP,P2,july,Prepare,未定义此列头内容
,交互>密码界面进出刷新,/3.7.0/CTP资金内转/,,无,无,"1. A测试机进入资金内转界面等待
2. 使用B测试机进行内转，改变可转金额
3. 观察A测试机上可转余额
4. 点击确定，进入密码输入界面后立即退出，再次观察","3. 界面未做刷新
4. 界面刷新，可转余额更新为了最新值",STEP,P2,july,Prepare,未定义此列头内容
